Country name,Year,GDP,biofuel_share_energy,coal_consumption,electricity_demand,energy_per_capita,fossil_fuel_consumption,greenhouse_gas_emissions,nuclear_consumption,oil_consumption,renewables_consumption,PopDensity,Death rate,Child mortality rate,Fertility rate: children per woman,Age Median,Population,Pop<15,Pop100+,Life ExpectancyM,Life ExpectancyF,Birth rate
Taiwan,1978,1.285E+11,,29.784,,16082.369,258.906,,7.576,208.592,14.684,493.7273,4.374,1.58755,2.7068,20.6,17482888,6066834,38,69.5,74.6,24.078
Angola,1955,8094498304,,,,,,,,,,3.961,26.843,32.40238,6.2674,18.8,4938121,1995644,2,35.4,38.8,48.889
Costa Rica,1993,27271077888,,,,8771.873,,,,,,66.6935,3.894,1.5326,2.964,22.7,3405376,1184788,40,74.7,78.8,24.287
Suriname,1980,,,,,30485.225,,,,,,2.4046,9.46,6.08859,3.8948,17.3,375123,152985,4,59.4,65,29.91
Seychelles,2021,,,,0.65,45933.664,,0.4,,,,232.977,8.973,1.36388,2.3484,32.5,106486,24655,7,67.7,75.7,15.433
Paraguay,2003,33147164672,,,6.09,22881.867,,1.24,,,,13.2355,5.536,3.15605,3.2104,19.7,5353260,1999572,89,67.3,73.6,24.932
Vietnam,1950,26590203904,,,,,,,,,,80.1164,16.584,15.97709,5.1754,23.1,25109200,8236495,175,44.2,55.2,38.822
United Arab Emirates,2010,5.13347E+11,,7.653,93.95,114656.625,972.441,46.03,0,372.071,,119.4212,0.795,0.8829001,1.7897,26.3,8481775,1165799,19,76.5,80.2,13.665
Belize,2020,,,,0.97,7226.434,,0.3,,,,17.3135,5.244,1.16684,1.9986,24.8,394931,113644,6,69.6,76.6,17.881
Costa Rica,1998,33667012608,,,,9361.015,,,,,,74.8418,4.114,1.40822,2.5343,23.9,3821428,1230317,61,74.7,79.3,20.679
Belize,1998,,,,,9663.354,,,,,,9.86,5.863,2.58418,3.7852,18,224917,92218,3,66.5,70.9,31.322
Thailand,1965,66849222656,,0.523,,992.445,,,0,27.696,2.487,60.5615,12.342,12.20611,6.1917,16.3,30940276,14002136,707,52.2,57.4,42.123
Nepal,1985,19628165120,,,,172.613,,,,,,119.1769,15.17,17.49274,5.4743,18.3,17540576,7216760,2,51,50.7,39.599
Canada,2003,1.22561E+12,0.045,370.357,566.65,117365.117,2495.393,125.84,206.972,1227.187,1008.656,3.4771,7.169,0.62192,1.5246,36.9,31619456,5790583,3652,77.2,82.1,10.465
Greece,1968,73369985024,,26.4,,11637.534,,,0,68.693,4.045,65.1188,9.82,3.60958,2.4951,32.1,8518841,2160409,550,69.2,73.7,17.953
Bahrain,2008,34434658304,,,21.26,154979.234,,10.67,0,,,1418.063,2.002,0.95322,2.1715,27.9,1110352,239242,3,76.8,79.7,16.732
Chile,2016,3.92579E+11,,86.261,73.36,23993.93,346.341,36.27,0,200.917,87.562,24.0172,6.107,0.76678,1.6756,33.6,18083880,3566612,1798,77.5,82.6,12.7
Turks and Caicos Islands,1981,,,,,0,,,,,,8.3753,6.924,2.118,4.4208,18.1,7980,3168,0,65.8,70.9,29.614
Dominican Republic,2020,,,,16.63,9496.668,,9.11,,,,227.6845,6.46,3.37279,2.3031,26.8,10999668,3038477,1038,69.4,76.9,18.78
Afghanistan,1965,14187419648,,,,,,,,,,14.7316,29.389,32.9287,7.3053,17.7,9565154,4047408,0,34.3,35.7,50.872
Puerto Rico,2020,,,,17.14,21459.73,,10.95,,,,376.388,11.199,1.21,1.2916,43.6,3271570,456062,2355,73.6,82.6,8.179
Sudan,1989,,,,,984.987,,,0,,,11.7383,15.118,15.53185,6.2308,15,20718704,9882762,20,45.6,53.7,43.782
Bermuda,1991,,,,,41290.523,,,,,,1071.741,7.137,0.97892,1.7292,32,57897,11248,1,71,79,15.438
Philippines,1963,79496470528,,,,,,,,,,103.479,9.461,9.44275,6.9466,14.7,31043710,15015983,490,58.9,62.1,44.929
American Samoa,2015,,,,0.16,28115.486,,0.11,,,,256.84,5.47,1.03003,2.7327,23.6,51391,16183,0,70.3,74.8,19.742
Egypt,1992,2.54191E+11,,9.308,,6544.951,363.648,,0,259.822,28.978,60.2633,7.684,7.73063,4.2527,18.6,59989148,24420310,100,63.2,66.7,31.729
Mongolia,1964,1089646976,,,,,,,,,,0.7089,21.553,19.93325,7.4507,20,1104021,459436,0,47.1,50.8,44.497
Greece,1973,1.08953E+11,,54.44,,20646.846,,,0,117.92,6.573,66.2467,9.804,2.76106,2.3859,33.8,8666390,2119840,824,70.6,75.5,16.146
Lower-middle-income countries,2021,,0.562,7616.952,3828.27,6462.941,19825.324,2067.2,375.023,6148.687,1844.987,132.4756,8.772,4.3744,2.5892,25.6,,999648800,64226,64.5,68.5,20.53
Turkmenistan,2021,,,,18.2,70866.023,,10.49,0,81.806,0.033,13.4953,6.585,4.10286,2.6674,25.8,6341850,1979717,12,65.9,72.7,21.592
Morocco,1999,1.33797E+11,,26.412,,4205.276,116.052,,0,89.257,2.44,63.1347,6.5,5.42176,2.8714,21,28176992,9782182,51,64.8,68.1,23.176
Trinidad and Tobago,1989,17434560512,,0,,49929.008,62.638,,0,9.944,,244.8753,6.59,3.07682,2.5229,22.8,1256212,432104,23,65.8,71.2,22.016
World,1978,,0.03,19457.904,,17719.246,69301.875,,1775.701,36550.02,4931.925,32.8953,10.923,12.40922,3.7904,21.2,,1553108900,43438,57.5,62,28.284
China,1992,3.75504E+12,,6731.497,,7411.395,8386.55,,0,1495.912,387.158,123.3139,6.594,5.22804,1.776,24.5,1183813400,337674940,1266,66.6,71,17.811
Mongolia,1998,6297035264,,,,17177.256,,,0,,,1.5443,7.874,7.32214,2.363,20,2405156,889067,7,59.1,64.5,21.097
Bahrain,1953,462638336,,,,,,,,,,162.4336,24.952,33.33581,7.163,17.5,127198,54228,0,38.7,39.9,47.444
Bolivia,1993,25891375104,,,,3756.717,,,0,,,6.9644,10.736,12.29238,4.5921,18.6,7544494,3034342,42,56.8,60,33.91
French Polynesia,2003,,,,0.57,17084.979,,0.29,,,,71.4366,2.482,0.9982899,2.2663,25.3,263182,78158,2,77.3,82.4,18.09
Kiribati,1993,,,,,954.169,,,,,,108.9428,8.369,8.174829,4.4569,18.7,79110,32767,0,60.6,64,34.784
Montenegro,2017,11443806208,,,3.6,19660.412,,1.14,,,,45.789,10.408,0.32122,1.7778,37.1,632445,115941,91,73.9,79.9,12.175
Sierra Leone,2008,6848798208,,,0.06,405.939,,0.03,,,,84.9019,14.546,16.91076,5.5629,17,6090861,2653312,9,50.8,52.3,40.324
Brazil,1953,1.40888E+11,,,,,,,,,,7.0621,16.515,20.089,6.093,17.4,59025680,25351908,295,46.8,51.9,46.006
Spain,1986,5.89787E+11,,216.667,,24401.979,755.345,,106.288,510.479,80.06,76.8199,7.997,1.0922,1.5552,31.2,38590810,8757709,1457,73.4,79.9,11.365
Tanzania,2004,55646048256,,,2.95,711.855,,0.36,,,,43.3063,11.275,9.97758,5.6069,16.4,38360884,17106946,159,54.4,56.7,41.96
Sierra Leone,2007,6495486464,,,0.06,423.133,,0.03,,,,82.7873,15.345,17.64303,5.6429,16.9,5939169,2594722,9,49.7,51,40.796
Cameroon,1960,7437215744,,,,,,,,,,10.9808,28.64,27.79281,5.6468,19.6,5117606,1998189,5,29.5,42,44.178
